class,crop,disease,count
Apple___Apple_scab,Apple,Apple scab,630
Apple___Black_rot,Apple,Black rot,621
Apple___Cedar_apple_rust,Apple,Cedar apple rust,275
Apple___healthy,Apple,healthy,1645
Blueberry___healthy,Blueberry,healthy,1502
Cherry_(including_sour)___healthy,Cherry (including sour),healthy,854
Cherry_(including_sour)___Powdery_mildew,Cherry (including sour),Powdery mildew,1052
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn (maize),Cercospora leaf spot Gray leaf spot,513
Corn_(maize)___Common_rust_,Corn (maize),Common rust ,1192
Corn_(maize)___healthy,Corn (maize),healthy,1162
Corn_(maize)___Northern_Leaf_Blight,Corn (maize),Northern Leaf Blight,985
Grape___Black_rot,Grape,Black rot,1180
Grape___Esca_(Black_Measles),Grape,Esca (Black Measles),1383
Grape___healthy,Grape,healthy,423
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape,Leaf blight (Isariopsis Leaf Spot),1076
Orange___Haunglongbing_(Citrus_greening),Orange,Haunglongbing (Citrus greening),5507
Peach___Bacterial_spot,Peach,Bacterial spot,2297
Peach___healthy,Peach,healthy,360
"Pepper,_bell___Bacterial_spot","Pepper, bell",Bacterial spot,997
"Pepper,_bell___healthy","Pepper, bell",healthy,1478
Potato___Early_blight,Potato,Early blight,1000
Potato___healthy,Potato,healthy,152
Potato___Late_blight,Potato,Late blight,1000
Raspberry___healthy,Raspberry,healthy,371
Soybean___healthy,Soybean,healthy,5090
Squash___Powdery_mildew,Squash,Powdery mildew,1835
Strawberry___healthy,Strawberry,healthy,456
Strawberry___Leaf_scorch,Strawberry,Leaf scorch,1109
Tomato___Bacterial_spot,Tomato,Bacterial spot,2127
Tomato___Early_blight,Tomato,Early blight,1000
Tomato___healthy,Tomato,healthy,1591
Tomato___Late_blight,Tomato,Late blight,1909
Tomato___Leaf_Mold,Tomato,Leaf Mold,952
Tomato___Septoria_leaf_spot,Tomato,Septoria leaf spot,1771
Tomato___Spider_mites Two-spotted_spider_mite,Tomato,Spider mites Two-spotted spider mite,1676
Tomato___Target_Spot,Tomato,Target Spot,1404
Tomato___Tomato_mosaic_virus,Tomato,Tomato mosaic virus,373
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Tomato Yellow Leaf Curl Virus,5357
